tool_name,brand,category,subcategory,title,price_low,price_high,price_avg,sold_date,condition,shipping,bids,url,new_price_low,new_price_high,scraped_at
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,"Stanley No. 45 Combination Plane w/ Set Cutter Box, Accessories & CaseOpens in a new window or tab",195.0,195.0,195.0,2026-02-09,Pre-Owned,Free returns,1 bid,https://www.ebay.com/itm/397564551644,,,2026-02-09T20:04:54.406865
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Vintage Stanley No. 45 Combination Plane With Cutter Blades - USAOpens in a new window or tab,195.0,195.0,195.0,2026-02-09,Pre-Owned,+$20.00 delivery,,https://www.ebay.com/itm/188019500367,,,2026-02-09T20:04:54.407256
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Stanley Rule & Level Co. No. 45 Combination PlaneOpens in a new window or tab,115.0,115.0,115.0,2026-02-09,Pre-Owned,+$25.00 delivery,,https://www.ebay.com/itm/335947270688,,,2026-02-09T20:04:54.407614
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,VINTAGE STANLEY NO. 45 COMBINATION PLANE WORKINGOpens in a new window or tab,80.0,80.0,80.0,2026-02-09,Pre-Owned,+$20.15 delivery,,https://www.ebay.com/itm/277475381633,,,2026-02-09T20:04:54.407961
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Vintage Stanley No 45 Combination woodworking planeOpens in a new window or tab,54.44,54.44,54.44,2026-02-09,Pre-Owned,+$36.49 shipping estimate,1 bid,https://www.ebay.com/itm/157654841459,,,2026-02-09T20:04:54.408315
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,New ListingAntique NICE STANLEY RULE & LEVEL CO. no. 45 COMBINATION PLANE w Box CuttersOpens in a new window or tab,145.0,145.0,145.0,2026-02-09,Pre-Owned,+$18.52 delivery,,https://www.ebay.com/itm/188042101580,,,2026-02-09T20:04:54.408659
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Antique Stanley No 45 Combination Plane Ornate with Rounds and BladesOpens in a new window or tab,199.99,199.99,199.99,2026-02-08,Pre-Owned,+$19.99 delivery,1 bid,https://www.ebay.com/itm/157653213095,,,2026-02-09T20:04:54.408998
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Antique Stanley 45 Combination Plane • Rosewwod • COMPLETE ALL ORIGINAL ☆ USAOpens in a new window or tab,94.0,94.0,94.0,2026-02-08,Pre-Owned,+$9.91 delivery,36 bids,https://www.ebay.com/itm/267564398916,,,2026-02-09T20:04:54.409339
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Stanley Rule & Level No 45 Combination Wood Plane with 18 CuttersOpens in a new window or tab,141.0,141.0,141.0,2026-02-08,Pre-Owned,+$15.60 delivery,15 bids,https://www.ebay.com/itm/389537760382,,,2026-02-09T20:04:54.409679
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Vintage Stanley No. 45 Combination PlaneOpens in a new window or tab,75.0,75.0,75.0,2026-02-08,Pre-Owned,+$10.00 delivery,,https://www.ebay.com/itm/358162675675,,,2026-02-09T20:04:54.410015
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Vintage Stanley No. 45 Combination Plane Cutters Lot of (16) w/Wood Box & LabelOpens in a new window or tab,149.95,149.95,149.95,2026-02-08,Pre-Owned,Free delivery,,https://www.ebay.com/itm/277705324089,,,2026-02-09T20:04:54.410351
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Stanley Rule & Level No 45 Combined Plow & Beading Plane w/ Cutters & Box Type BOpens in a new window or tab,249.99,249.99,249.99,2026-02-07,Pre-Owned,+$19.99 delivery,,https://www.ebay.com/itm/267567189584,,,2026-02-09T20:04:54.410685
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Old Stanley  Rule & Level     No. 45 Combination Wood Plane ToolOpens in a new window or tab,46.0,46.0,46.0,2026-02-07,Pre-Owned,+$15.00 delivery,4 bids,https://www.ebay.com/itm/147133172736,,,2026-02-09T20:04:54.411017
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Stanley No 45 Combination Plane With Side Fence Repainted Vintage WoodworkingOpens in a new window or tab,30.0,30.0,30.0,2026-02-07,Pre-Owned,+$14.65 delivery,10 bids,https://www.ebay.com/itm/206028928410,,,2026-02-09T20:04:54.411350
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,stanley 45 combination plane cutters Set Of 17 Pieces Plane Parts BladesOpens in a new window or tab,88.0,88.0,88.0,2026-02-07,Pre-Owned,+$12.05 delivery,24 bids,https://www.ebay.com/itm/206020869892,,,2026-02-09T20:04:54.411685
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Stanley No. 45 / 55 Combination Plane  Cam Rest / Stop  Lot Of 2 PCsOpens in a new window or tab,52.0,52.0,52.0,2026-02-07,Pre-Owned,+$7.70 delivery,12 bids,https://www.ebay.com/itm/206031273738,,,2026-02-09T20:04:54.412019
Stanley No. 45 Combination Plane,Stanley,Specialty Planes,Combination,Vtg. Antique Stanley No. 45 Combination Plane Tools/PartsOpens in a new window or tab,49.95,49.95,49.95,2026-02-07,Pre-Owned,+$7.95 delivery,,https://www.ebay.com/itm/177841177763,,,2026-02-09T20:04:54.412351
